연소발생월,연소발생일,Item_No,Cell종류,Cell OH시점,P_151,P_152,P_153,P_154,P_155,P_156,P_157,P_158,P_159,P_160,P_161,P_162,P_163,P_164,P_165,P_166,P_167,P_168,P_169,P_170,P_171,P_172,P_173,P_174,P_175
6월,2021-06-23 23:58,J-P,Monel,,3,,,,,,,,,,,2,,,,,,,,,,,,,
6월,2021-06-25 21:37,G-S,Monel,,,,,2,,,,,2,2,,,3,,,,,,,,,,,,
6월,2021-06-27 3:36,J-K,Monel,,,,,,,,,,,,,1,,,,,,,,,,,,,
6월,2021-06-27 14:36,G-S,Monel,,,,,,2,,,,,,,,,,,,,,,,,,,2,
6월,2021-06-27 19:19,J-K,Monel,,,,,,,,,,,,,1,,,,,,,,3,,,,,
6월,2021-06-28 23:11,J-K,Monel,,,,,,,,,,,,,1,,,,,,,,,,,,,
6월,2021-06-29 1:45,G-S,Monel,,,,,,,,,,,2,,,,,,,,,,,,,,,
6월,2021-06-29 21:31,J-K,Monel,,,,,,,,,,,,,1,,,,,,,,,,,,,
7월,2021-07-01 2:50,G-Y,Monel,,,,,,,,,,,,,,,,2,,2,,,,,,,,
7월,2021-07-01 13:58,I-A,Monel,,,,,,,,,,,,,,,,,,,,,,,,1,,
7월,2021-07-01 4:17,H-AB,Monel,,,,,,,,,,,,,1,,,,,,,,,,,,,
7월,2021-07-03 6:07,I-Z,Monel,,,,,,,,,,,,,,,1,3,3,3,,,,,,,,
7월,2021-07-03 12:39,G-U,Monel,,,,1,,,,,,,,,,,,,,,,,,,,,,
7월,2021-07-04 0:15,G-T,Monel,,1,,,,,,,,,,,,,,,,,,,,,,,,
7월,2021-07-04 12:35,J-F,Monel,,,,,,,,,,,,,,,,,,,1,,,,,,,
7월,2021-07-05 15:17,I-Z,Monel,,,,,,,,,,,,,,1,,,,,,,,,,,,
